plate,delta_x_px,delta_y_px,scatter_px,offset_arcsec,n_tiles,status
XE286,0.9978923256003328,0.9093158590644634,0.0990423520801365,2.2939007253253223,4,ok
XE287,1.034500565435792,1.0008413483888037,0.0183105308014562,2.445712479569525,4,ok
XE288,1.244331095360394,1.0098681960289468,0.0692986965252262,2.722936582637946,4,ok
XE289,1.1277453782249722,0.913501711547724,0.0623664407125114,2.4659441878892534,4,ok
XE290,1.005223825534813,1.04108617372367,0.0452035013704496,2.4589333409301606,4,ok
XE291,1.1262074726350877,0.946358033800152,0.1157715966637916,2.499458493724529,4,ok
XE292,1.2341422803710884,0.8849918135119879,0.124916851013026,2.580377265750082,4,ok
XE293,1.121946840128885,0.9786167601932902,0.0664255212371848,2.529607549461899,4,ok
XE294,0.9454653246202724,1.001494737757639,0.0626737976788525,2.340159440669665,4,ok
XE295,0.0015814383887118,-0.0033901888787113,0.0152318277734405,0.0063562309326218,4,ok
XE296,1.3842278565739434,-0.2864882770832082,0.1195300591445739,2.401812066917948,4,ok
XE297,-0.0123287286478444,0.0078884805020607,0.0161715130287134,0.024869061859811,4,ok
XE298,0.0091496968216233,-0.0014011080261298,0.006642908913745,0.0157276383011748,4,ok
XE299,0.0149155300459824,0.0042455970115042,0.0144759606659524,0.0263499317922129,4,ok
XE300,-0.0087880708542797,-0.00484858126174,0.0168425945424235,0.0170538449013293,4,ok
XE301,0.9948150390691808,0.9216142049317568,0.0479944403175619,2.3041885544991105,4,ok
XE302,1.030659186738376,0.935773541297749,0.0376577791275542,2.365335443966343,4,ok
XE303,0.9630731122460928,0.9836437348135404,0.0598744297740289,2.3390293819618995,4,ok
XE304,0.998762447597528,1.0320316962147444,0.1488904633831489,2.440241553343208,4,ok
XE305,0.8766974716709228,1.0348602866497458,0.0923228086976842,2.304504626944066,4,ok
XE306,0.9971413361399756,1.0805170559160615,0.0646786692461108,2.498228727098865,4,ok
XE307,1.0073855308273778,1.035941009324688,0.0376458858453828,2.4552110266631773,4,ok
XE308,0.9831060152455392,1.077714149700114,0.0419515348238508,2.4785969232634595,4,ok
XE309,0.975271750342472,1.0025456968851358,0.0433628552703518,2.3764908035140198,4,ok
XE310,0.9857051820645212,1.0427699616516293,0.0423369942957481,2.4380921613676017,4,ok
XE311,0.8355935797544589,0.9980544165036918,0.2376100715602432,2.2116813051878617,4,ok
XE312,0.947030496176012,1.067308237267298,0.0502695112236173,2.4244541975577887,4,ok
XE313,0.9983342004397856,1.126223991225288,0.0355340176673704,2.5571882380043256,4,ok
